-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-36-06.txt
-----------------------------------
[11:36:14.374] {Hor_act_Vel=-15.945, Hor_act_Pos=96.948, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=1062} 
[11:36:14.475] {Hor_act_Vel=-31.891, Hor_act_Pos=94.556, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=1385} 
[11:36:14.574] {Hor_act_Vel=-39.863, Hor_act_Pos=90.888, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=905} 
[11:36:14.675] {Hor_act_Vel=-39.863, Hor_act_Pos=86.743, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=1290} 
[11:36:14.774] {Hor_act_Vel=-59.795, Hor_act_Pos=81.799, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1665, Hor_Cur=1449} 
[11:36:14.875] {Hor_act_Vel=-63.781, Hor_act_Pos=75.581, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=1380} 
[11:36:14.975] {Hor_act_Vel=-79.727, Hor_act_Pos=67.927, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=1349} 
[11:36:15.075] {Hor_act_Vel=-75.740, Hor_act_Pos=60.433, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1670, Hor_Cur=1424} 
[11:36:15.175] {Hor_act_Vel=-95.672, Hor_act_Pos=51.503, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1678, Hor_Cur=1601} 
[11:36:15.189] [LOG]current:0, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:15.275] {Hor_act_Vel=-103.645, Hor_act_Pos=41.777, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=1616} 
[11:36:15.376] {Hor_act_Vel=-95.672, Hor_act_Pos=31.412, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=1429} 
[11:36:15.475] {Hor_act_Vel=-95.672, Hor_act_Pos=21.526, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=1431} 
[11:36:15.575] {Hor_act_Vel=-99.658, Hor_act_Pos=11.800, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=1530} 
[11:36:15.675] {Hor_act_Vel=-103.645, Hor_act_Pos=1.595, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1664, Hor_Cur=1434} 
[11:36:15.775] {Hor_act_Vel=-103.645, Hor_act_Pos=-8.451, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=1481} 
[11:36:15.875] {Hor_act_Vel=-95.672, Hor_act_Pos=-18.178, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1666, Hor_Cur=1425} 
[11:36:15.975] {Hor_act_Vel=-99.658, Hor_act_Pos=-28.223, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=1408} 
[11:36:16.075] {Hor_act_Vel=-103.645, Hor_act_Pos=-38.428, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=1371} 
[11:36:16.175] {Hor_act_Vel=-91.686, Hor_act_Pos=-48.155, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=1329} 
[11:36:16.202] [LOG]current:90, voltage:29380, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:16.275] {Hor_act_Vel=-91.686, Hor_act_Pos=-57.563, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=1362} 
[11:36:16.375] {Hor_act_Vel=-79.727, Hor_act_Pos=-66.014, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=1199} 
[11:36:16.475] {Hor_act_Vel=-67.768, Hor_act_Pos=-73.508, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1666, Hor_Cur=1301} 
[11:36:16.575] {Hor_act_Vel=-63.781, Hor_act_Pos=-80.045, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=1301} 
[11:36:16.675] {Hor_act_Vel=-55.809, Hor_act_Pos=-85.786, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1680, Hor_Cur=977} 
