-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-09-04.txt
-----------------------------------
[11:09:13.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-112.844, Ver_act_Pos=158.505, Ver_Cur=2641, Hor_Cur=136} 
[11:09:13.365] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-111.208, Ver_act_Pos=147.188, Ver_Cur=2662, Hor_Cur=141} 
[11:09:13.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-106.302, Ver_act_Pos=136.328, Ver_Cur=2752, Hor_Cur=142} 
[11:09:13.480] [LOG]current:60, voltage:29330, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:13.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-104.667, Ver_act_Pos=125.796, Ver_Cur=2637, Hor_Cur=140} 
[11:09:13.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-103.031, Ver_act_Pos=115.526, Ver_Cur=2470, Hor_Cur=138} 
[11:09:13.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-101.396, Ver_act_Pos=105.321, Ver_Cur=2316, Hor_Cur=141} 
[11:09:13.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=95.312, Ver_Cur=2195, Hor_Cur=141} 
[11:09:13.965] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=86.350, Ver_Cur=1820, Hor_Cur=142} 
[11:09:14.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-83.406, Ver_act_Pos=77.715, Ver_Cur=2270, Hor_Cur=142} 
[11:09:14.165] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-78.500, Ver_act_Pos=69.473, Ver_Cur=2181, Hor_Cur=144} 
[11:09:14.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-70.323, Ver_act_Pos=61.950, Ver_Cur=1692, Hor_Cur=142} 
[11:09:14.364] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-60.510, Ver_act_Pos=55.277, Ver_Cur=2206, Hor_Cur=137} 
[11:09:14.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-55.604, Ver_act_Pos=49.520, Ver_Cur=1779, Hor_Cur=143} 
[11:09:14.491] [LOG]current:30, voltage:29330, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:14.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-39.250, Ver_act_Pos=44.810, Ver_Cur=2144, Hor_Cur=139} 
[11:09:14.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-35.979, Ver_act_Pos=41.016, Ver_Cur=2299, Hor_Cur=140} 
[11:09:14.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-31.073, Ver_act_Pos=37.811, Ver_Cur=1637, Hor_Cur=138} 
[11:09:14.866] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-32.708, Ver_act_Pos=34.671, Ver_Cur=2116, Hor_Cur=145} 
[11:09:14.965] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-29.438, Ver_act_Pos=31.662, Ver_Cur=1487, Hor_Cur=149} 
[11:09:15.065] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-32.708, Ver_act_Pos=28.522, Ver_Cur=2391, Hor_Cur=139} 
[11:09:15.166] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-27.802, Ver_act_Pos=25.447, Ver_Cur=1736, Hor_Cur=140} 
[11:09:15.265] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-34.344, Ver_act_Pos=22.307, Ver_Cur=2368, Hor_Cur=142} 
[11:09:15.365] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-26.167, Ver_act_Pos=19.233, Ver_Cur=1761, Hor_Cur=141} 
[11:09:15.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-32.708, Ver_act_Pos=16.158, Ver_Cur=2393, Hor_Cur=138} 
[11:09:15.507] [LOG]current:50, voltage:29350, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
