-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_13-21-21.txt
-----------------------------------
[13:21:28.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.590, Ver_Cur=1276, Hor_Cur=0} 
[13:21:28.429] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.590, Ver_Cur=1498, Hor_Cur=0} 
[13:21:28.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.590, Ver_Cur=1396, Hor_Cur=0} 
[13:21:28.629] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=-1.635, Ver_act_Pos=136.525, Ver_Cur=1658, Hor_Cur=0} 
[13:21:28.729] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.590, Ver_Cur=1573, Hor_Cur=0} 
[13:21:28.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.525, Ver_Cur=1677, Hor_Cur=0} 
[13:21:28.913] [LOG]current:160, voltage:29340, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:28.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.525, Ver_Cur=1325, Hor_Cur=0} 
[13:21:29.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.525, Ver_Cur=1754, Hor_Cur=0} 
[13:21:29.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.525, Ver_Cur=1340, Hor_Cur=0} 
[13:21:29.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.459, Ver_Cur=1507, Hor_Cur=0} 
[13:21:29.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=-21.260, Ver_act_Pos=134.889, Ver_Cur=1345, Hor_Cur=0} 
[13:21:29.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=-16.354, Ver_act_Pos=133.646, Ver_Cur=1376, Hor_Cur=0} 
[13:21:29.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=-3.271, Ver_act_Pos=133.123, Ver_Cur=1638, Hor_Cur=0} 
[13:21:29.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=133.123, Ver_Cur=1312, Hor_Cur=0} 
[13:21:29.729] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=133.123, Ver_Cur=1515, Hor_Cur=0} 
[13:21:29.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=133.123, Ver_Cur=1202, Hor_Cur=0} 
[13:21:29.933] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=6.542, Ver_act_Pos=133.450, Ver_Cur=1588, Hor_Cur=0} [LOG]current:110, voltage:29330, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:30.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=13.083, Ver_act_Pos=133.973, Ver_Cur=1298, Hor_Cur=0} 
[13:21:30.129] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=4.906, Ver_act_Pos=134.170, Ver_Cur=1824, Hor_Cur=0} 
[13:21:30.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=4.906, Ver_act_Pos=134.693, Ver_Cur=1179, Hor_Cur=0} 
[13:21:30.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=17.990, Ver_act_Pos=135.805, Ver_Cur=1584, Hor_Cur=0} 
[13:21:30.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=9.812, Ver_act_Pos=136.459, Ver_Cur=1197, Hor_Cur=0} 
[13:21:30.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=136.852, Ver_Cur=1465, Hor_Cur=0} 
[13:21:30.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=16.354, Ver_act_Pos=137.964, Ver_Cur=1343, Hor_Cur=0} 
